1,Kérdés,Helyes / Rossz válasz,,Helyes / Rossz válasz,,Helyes / Rossz válasz,,,
881,Melyek a vitorlás kishajó bal oldali oldalfényének jellemzői?,"Erős vörös fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 32 fok 30 percig látható.",N,"Közepesen erős vagy szokásos erősségű vörös fény, amely folyamatosan világító, 112 fok 30 perc látószögű, a hajó orra felől nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható.",I,"Gyenge vörös fény, amely folytonos; 112 fok 30 pec látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 18 fok 30 percig látható.",N,xxx-3556.jpg,xxx-3556.jpg
882,Melyek a vitorlás kishajó jobb oldali oldalfényének jellemzői?,"Közepesen erős zöld fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 32 fok 30 percig látható",N,"Közepesen erős vagy szokásos erősségű zöld fény, amely folyamatosan világító, 112 fok 30 perc látószögű, a hajó orra felől nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható.",I,"Szokásos erősségű zöld fény, amely folytonos; 112 fok 30 pec látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 18 fok 30percig látható.",N,xxx-3556.jpg,xxx-3556.jpg
883,Melyek a vitorlás kishajó farfényének jellemzői?,"Erős vagy szokásos fehér fény, folyamatosan világító, 135° látószögű a hajó fara felől nézve mindkét oldal felé 67°30'-ig látható.",I,"Gyenge fehér vagy sárga fény, folytonos, 135° látószögű, a hajó fara felől mindkét oldal felé 67°30'-ig látható.",N,"Közepesen erős fehér fény, folytonos, 135° látószögű, a hajó fara felől mindkét oldal felé 67°30'-ig látható.",N,xxx-3558.jpg,xxx-3558.jpg
884,"Kishajón alkalmazható-e a Szabályzatban nem említett világító berendezés, fényszóró? ","Igen, de csak olyan helyen, ahol személyek tartózkodnak, a kishajó fedélzetén nem.",N,"Nem, kishajón kizárólag a Szabályzatban előírt vagy annak/azok helyettesítésére szolgáló jelzőfény  alkalmazható.",N,"Igen, de csak olyat és úgy, hogy azt ne lehessen Szabályzatban előírt jelzőfényként értelmezni, nem csökkentheti jelzőfények láthatóságát, illetve nem nehezítheti azok helyes felismerhetőségét.",I,,
885,Milyen fontos előírás vonatkozik az oldalfények elhelyezésére egy kishajón?,Csak azonos típusú és teljesítményű világító test alkalmazható mindkét oldalon.,N,"Úgy kell ezeket takarni, hogy a zöld fény bal oldalról, a vörös fény jobb oldalról ne legyen látható.",I,"Úgy kell azokat elhelyezni, hogy ne legyenek azonos síkban, csak azonos magasságban.",N,,
886,Milyen alkalmazási előírás vonatkozik világító berendezések és fényszórók használatára a Szabályzat alapján?,"Világító berendezések csak reklám céljára használhatók hajózási hatósági engedéllyel, míg a fényszóró használatára korlátozás nem vonatkozik.",N,"Csak a látási holttér bevilágítására alkalmas, legfeljebb 500 méter távolságot bevilágító fényszórót lehet alkalmazni.",N,"Tilos ezeket úgy használni, hogy az a hajózás vagy a szárazföldi közlekedés számára veszélyeztető vagy zavaró vakítást okozzon!",I,,
887,"Mit kell tenni, ha a Szabályzat, ha az előírt jelzőfény nem működik?","A hajót egyéb fényforrással kell megvilágítani, hogy a közeledő hajók észleljék jelenlétét.",N,Haladéktalanul tartalék jelzőfénnyel kell helyettesíteni és a meghibásodott jelzőfény kijavítását a lehető legrövidebb időn belül el kell végezni.,I,Azonnal meg kell szakítani a hajó útját a jelzőfény meghibásodásának elhárításáig.,N,,
888,"Lehet-e alkalmazni a Szabályzatban meghatározottaktól eltérő jelzőfényt, jelzést?","Igen, a hajó és a part közötti összeköttetésre, de csak úgy, hogy az ne  legyen összetéveszthető az előírt jelzőfényekkel és jelzésekkel.",I,"Nem, a Szabályzatban meghatározottaktól eltérő jelzőfény, jelzés alkalmazása tilos!",N,"Igen, de csak a hajók közötti összeütközés veszélyének elkerülése érdekében.",N,,
889,"Helyettesíthetők-e a kishajón alkalmazott Szabályzatban egyes esetekre előírt a jelzőtestek? Igen, az előírt gömb és kúp",méretei 50 százalékkal csökkenthetők azonos formát mutató szerkezet alkalmazásakor.,N,távolról azonos alakot mutató szerkezettel helyettesíthetők.,I,méretei 150 százalékkal növelve helyettesíthetők azonos alakot mutató szerkezet alkalmazásakor.,N,,
890,"Mivel jelzi nappal a hajó, ha vitorla mellett gépi erőt is használ? ",Egy csúcsával felfelé néző fekete kúppal.,N,Egy sárga kettőskúppal.,N,Egy csúcsával lefelé mutató fekete kúppal.,I,,
891,Hogyan ismeri fel a veszélyes árukat szállít hajókat nappal? A veszélyes áru jellegének megfelelő számú,"csúcsával felfelé néző egy, kettő vagy három kék kettőskúpot viselnek.",N,"csúcsával lefelé néző egy, kettő vagy három kék kúpot viselnek.",I,"csúcsával lefelé néző egy, kettő vagy három fekete kúpot viselnek.",N,,
892,Kisgéphajója meghibásodott. Hogy biztonságos helyre hajózzon evezővel halad. Milyen fényt vagy fényeket kell viselnie ilyen esetben éjszaka?,"A kisgéphajóra előírt fényeket kell továbbra is viselni, valamint más hajó közeledésekor még egy szokásos fehér fényt kell felmutatni.",N,"Más hajó közeledtekor egy szokásos fehér fényt kell felmutatni jelezve azt, hogy nem gépi erővel és nem vitorlával haladok.",N,"Egy minden oldalról látható fehér fényt jelezve azt, hogy nem gépi erővel és nem vitorlával haladok.",I,,
893,Vitorlás kishajójával szélcsendes időben partra/kikötőbe szeretne jutni. Segédmotorral nem rendelkezik ezért evezővel halad. Milyen fényt vagy fényeket kell viselnie ilyen esetben éjszaka?,"A vitorlás kishajóra előírt fényeket kell továbbra is viselni, valamint más hajó közeledésekor még egy szokásos fehér fényt kell felmutatni.",N,"Más hajó közeledtekor egy szokásos fehér fényt kell felmutatni jelezve azt, hogy nem gépi erővel és nem vitorlával haladok.",N,"Egy minden oldalról látható fehér fényt jelezve azt, hogy nem gépi erővel és nem vitorlával haladok.",I,,
894,"Milyen esetben észlelheti gyorsjáratú hajón a két gyors, perceként 100-120-szor villanó sárga fényt?",Az elindulást követően azonnal viseli.,N,Akkor viseli azokat amikor eléri a 40 km/h sebességet.,N,"Az utazósebesség elérésétől viseli azokat még akkor is, ha az nem éri el a 40 km/h sebességet.",I,xxx-3948.jpg,xxx-3948.jpg
895,Milyen méretűek lehetnek a tavon közlekedő kishajón alkalmazott jelzőeszközök a Szabályzat II. része alapján?,"A gömb átmérője 0,8 m, a kúp magassága 0,6 m, alapátmérője 0,4 m, míg a lobogó és tábla hossza és szélessége 0,5 m.",N,"A lobogó valamint a tábla hossza és szélessége, a kúp magassága és alapátmérője, valamint a gömb átmérője legalább 0,4 m.",I,"A lobogó valamint a tábla hossza és szélessége 1,0 m, a gömb átmérője valamint a kúp magassága és alapátmérője 0,6 m.",N,,
896,"A Szabályzat II. része alapján, melyek a legkisebb elfogadható méretei tavon a vitorla mellett gépi erőt is használó kishajón alkalmazott fekete kúpnak? A kúp magassága és alapátmérője:","0,4 x 0,4 m.",I,"0,3 x 0,3 m.",N,"0,5 x 0,5 m.",N,teszt-1234.jpg,teszt-1234.jpg
897,"Más egyéb mellett mivel kell rendelkeznie annak a vitorlás hajónak, amely a gépi hajtásra alkalmas segédmotorral rendelkezik? Felszerelését ki kell egészíteni","egy 0,4 m átmérőjű sárga gömbbel.",N,egy U jelű kódlobogóval.,N,"egy 0,4 x 0,4 m befoglaló méretű fekete kúppal.",I,,
898,"Hogyan ismeri fel azt nappal, hogy egy hajó vitorla mellett gépi erőt is használ?",Egy csúcsával felfelé fordított fekete kúpot visel.,N,Egy csúcsával lefelé fordított fekete kúpot visel.,I,Egy csúcsával lefelé fordított kék kúpot visel.,N,,
899,"Hogyan ismeri fel azt nappal, hogy egy hajó 20 méternél kisebb hosszúságú, de 12 főnél több utas szállítására rendelkezik engedéllyel?",Egy sárga kettőskúpot visel.,I,Egy csúcsával lefelé fordított fekete kúpot visel.,N,Egy csúcsával felfelé fordított sárga kúpot visel.,N,,
900,"Hogyan ismeri fel azt nappal, hogy egy hajó gyúlékony árut szállít?",Egy csúcsával felfelé fordított fekete kúpot visel.,N,Egy csúcsával lefelé fordított kék kúpot visel.,I,Függőleges vonalban két csúcsával lefelé fordított kék kúpot visel.,N,,
901,"Hogyan ismeri fel azt nappal, hogy egy hajó egészségre ártalmas árut szállít?",Függőleges vonalban két csúcsával lefelé fordított kék kúpot visel.,I,Függőleges vonalban három csúcsával lefelé fordított kép kúpot visel.,N,Egy csúcsával lefelé fordított kék kúpot visel.,N,,
902,"Hogyan ismeri fel azt nappal, hogy egy hajó robbanásveszélyes árut szállít?",Függőleges vonalban két csúcsával lefelé fordított kék kúpot visel.,N,Függőleges vonalban három csúcsával lefelé fordított kép kúpot visel.,I,Egy csúcsával lefelé fordított kék kúpot visel.,N,,
903,"Hogyan ismeri fel azt, hogy egy gyorsjáratú hajó elérte utazó sebességét?","Az utazósebesség elérésétől függőleges vonalban két gyors, perceként 100-120-szor villanó sárga fényt visel.",I,"Az utazósebesség elérésétől egy gyors, perceként 100-120-szor villanó sárga fényt visel.",N,"Az utazósebesség elérésétől függőleges vonalban két gyors, perceként 40-60-szor villanó fehér fényt visel.",N,,
904,Milyen menetben lévő hajóra utalhat a zöld fény?,Kishajónak nem tekinthető vitorlás hajó.,I,Vitorlás kishajó.,N,"Vitorla mellett saját gépi erőt is használó olyan vitorlás hajó, amely nem kishajó.",N,xxx-3331.jpg,xxx-3331.jpg
905,Milyen hajót jelölhetnek a képen látható fények?,Menetben lvő vitorlás kishajó.,N,"Menetben lévő olyan vitorlás hajó, amely nem kishajó.",I,"Menetben lévő vitorla mellett saját gépi erőt is használó olyan vitorlás hajó, amely kishajó.",N,xxx-3300.jpg,xxx-3300.jpg
906,Állapítsa meg milyen menetben lévő hajót lát az ábrán?,"Vitorlás hajó, ami nem kishajó jobb oldalát mutatja.",I,Vitorla mellett gépe erőt is használó vitorlás hajó jobb oldalát mutatja.,N,Vitorlás kishajó jobb oldalát mutatja.,N,xxx-3238.jpg,xxx-3238.jpg
907,Állapítsa meg milyen menetben lévő hajót lát az ábrán?,"Vitorlás hajó, ami nem kishajó jobb oldalát mutatja.",I,Vitorla mellett gépe erőt is használó vitorlás hajó jobb oldalát mutatja.,N,Vitorlás kishajó jobb oldalát mutatja.,N,xxx-3296.jpg,xxx-3296.jpg
908,Milyen hajóra utalhat a vörös fény?,Kishajónak nem tekinthető vitorlával haladó hajó.,I,Menetben lévő vitorlás kishajó.,N,"Vitorla mellett saját gépi erőt is használó olyan vitorlás hajó, amely nem kishajó.",N,xxx-3302.jpg,xxx-3302.jpg
909,Milyen hajót jelölhetnek a képen látható fények?,Menetben lévő vitorlás kishajó.,N,Kishajónak nem tekinthető vitorlás hajó.,I,"Vitorla mellett saját gépi erőt is használó olyan vitorlás hajó, amely kishajó.",N,xxx-3289.jpg,xxx-3289.jpg
910,Állapítsa meg milyen menetben lévő hajó fénye látható az ábrán?,"Vitorlás hajó, ami nem kishajó bal oldalát mutatja.",I,Vitorla mellett gépi erőt is használó vitorlás hajó bal oldalát mutatja.,N,Vitorlás kishajó bal oldalát mutatja.,N,xxx-3439.jpg,xxx-3439.jpg
911,Állapítsa meg milyen menetben lévő hajó fénye látható az ábrán?,"Vitorlás hajó, ami nem kishajó bal oldalát mutatja.",I,Vitorla mellett gépi erőt is használó vitorlás hajó bal oldalát mutatja.,N,Vitorlás kishajó bal oldalát mutatja.,N,xxx-3338.jpg,xxx-3338.jpg
912,Milyen menetben lévő hajó fényei láthatók az ábrán az alábbiak közül?,"Géphajóként közlekedő vitorlás hajó, ami nem kishajó szemből.",N,Vitorla mellett gépi erőt is használó vitorlás kishajó.,N,"Vitorlás hajó, ami nem kishajó szemből.",I,xxx-2342.jpg,xxx-2342.jpg
913,Milyen menetben lévő hajó fényei láthatók az ábrán az alábbiak közül?,"Géphajóként közlekedő vitorlás hajó, ami nem kishajó szemből.",N,Vitorla mellett gépi erőt is használó vitorlás kishajó.,N,"Vitorlás hajó, ami nem kishajó szemből.",I,xxx-2343.jpg,xxx-2343.jpg
914,Állapítsa meg milyen menetben lévő hajó fénye látható az ábrán?,"Kishajónak nem tekinthető, vitorla mellett gépi erőt is használó hajó jobb oldalát mutatja.",I,Kishajónak nem tekinthető vitorlával haladó hajó jobb oldalát mutatja.,N,Vitorlával haladó kishajó a jobb oldalát mutatja.,N,xxx-3306.jpg,xxx-3306.jpg
915,Állapítsa meg milyen menetben lévő hajó fénye látható az ábrán?,Vitorlával haladó kishajó a bal oldalát mutatja.,N,Kishajónak nem tekinthető vitorlával haladó hajó bal oldalát mutatja.,N,"Kishajónak nem tekinthető, vitorla mellett gépi erőt is használó hajó bal oldalát mutatja.",I,xxx-3308.jpg,xxx-3308.jpg
916,Állapítsa meg milyen menetben lévő hajó fénye látható az ábrán?,"Kishajónak nem tekinthető, vitorla mellett gépi erőt is használó hajó szemből.",I,Kishajónak nem tekinthető vitorlával haladó hajó szemből.,N,Vitorlával haladó kishajó szemből.,N,xxx-2348.jpg,xxx-2348.jpg
917,Hogyan kell elhelyezni az oldalfényeket egy 7 m hosszúságot elérő vitorlás kishajón? Az oldalfényeket,egymás mellett vagy egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni.,I,"egymás mellett vagy egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni, hogy azok az árbocfénnyel azonos magasságban legyenek.",N,egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni a farfénnyel azonos magasságban.,N,,
918,Hogyan lehet elhelyezni az oldalfényeket és a farfényt egy vitorlás kishajón?,Oldalfényeket a hajó legszélső pontjain; a farfényt a hajó hátsó részén.,N,Oldalfényeket egy közös lámpatestben az árboccsúcson vagy az árboc felső részén; a farfényt a hajó hátsó részén.,N,Egy közös lámpatestben az árboccsúcson vagy az árboc felső részén.,I,,
919,Mit tekintünk mentőmotorosnak a Szabályzat II. része alapján?,A Szabályzat II-11. mellékletben meghatározott követelményeknek megfelelő kisgéphajó.,N,A hajózási hatóság által rendeltetésszerű mentésre alkalmasnak nyilvánított és a mentőmotoros lajstromba bejegyzett kisgéphajó.,N,A hajózási hatóság által rendeltetésszerű mentésre alkalmasnak nyilvánított és a Szabályzat II-11. mellékletben meghatározott követelményeknek megfelelő kisgéphajó.,I,teszt-1706.jpg,teszt-1706.jpg
920,Mit értünk felügyeleti hajó alatt a Szabályzat II. része alapján?,"A hajózási hatóság, a vízi- és a határrendészeti rendőri szerv, valamint a Nemzeti Adó- és Vámhivatal (NAV) hajói.",I,A Honvédség és a különböző ellenőrzésre jogosult hatóságok által üzemeltetett hajó(k).,N,"A hajózási-, a vízügyi-, a vízirendészeti-, a tűzoltó- és a katasztrófavédelmi hatóságok hajóit.",N,,
921,"Mit tekintünk kísérő kisgéphajónak a Szabályzat II. része alapján? Kísérő kisgéphajó, az olyan saját gép berendezéssel hajtott kishajó, amely","oktatás, edzés, verseny és vízi rendezvény ideje alatt a vitorlás és evezős csónak, vagy vízi sporteszközök, vitorlás kishajó, illetve vízben lévő személyek kísérését, szükség esetén mentést szolgál.",I,csak a vízi rendezvények biztosítására szolgál.,N,úszómunkagépek munkavégzésének ideje alatt annak kiszolgálásával kapcsolatos feladatokat látja el.,N,,
922,Milyen hajó viseli az ábrán látható jelzést?,Kitűző hajó.,N,A Nemzeti Adó-és Vámhivatal hajója.,I,A vízirendészet hajója.,N,xxx-1740.jpg,xxx-1740.jpg
923,"Milyen fényjelzést alkalmazhat a veszélyhelyzetet megelőző vagy elhárító tevékenységet végző honvédelmi, valamint katasztrófavédelmi célú hajó?",Nappal és éjszaka villogó kék fényjelzést alkalmazhat.,I,Nappal és éjszaka villogó vörös fényjelzést alkalmazhat.,N,Nappal és éjszaka villogó sárga fényjelzést alkalmazhat.,N,teszt-1726.jpg,teszt-1726.jpg
924,"Milyen jelzést alkalmazhat éjszaka, ha hajója műveletképtelen?","Egy fehér fény körkörös forgatásával, ami kishajónál vörös is lehet.",N,A morzeábécé szerinti ••• – – – ••• (SOS) jelek együtteséből álló fehér fényjelzéssel.,N,"Egy vörös fény lengetésével, ami kishajónál lehet fehér is.",I,,
925,"Mire készül, ha egy közelben lévő hajón vörös fényt lengetnek? A jelzést leadó hajó",műveletképtelen.,I,"veszélyben van, segítséget kér.",N,a hajóútban munkát végez.,N,xxx-3587.jpg,xxx-3587.jpg
926,"Hogyan tudja jelezni nappal, ha hajója műveletképtelen? ",Vörös zászló/lobogó lengetésével.,I,Körkörösen mozgatott vörös zászlóval.,N,Sárga zászló lengetésével.,N,xxx-3671.jpg,xxx-3671.jpg
927,"Mire kell felkészülnie, ha egy hajón vörös zászlót/lobogót lengetnek?",A hajó az összeütközés veszélyét jelzi.,N,A hajó műveletképtelenségét jelzi.,I,A jelzéseket leadó hajó elsőbbségi jogát jelzi.,N,teszt-1464.jpg,teszt-1464.jpg
928,"Milyen módon jelezheti éjszaka azt, ha kishajója műveletképtelenné vált? ",Fehér (vagy vörös) fény lengetésével.,I,Körkörösen mozgatott vörös fénnyel.,N,Kék fény lengetésével.,N,xxx-3672.jpg,xxx-3672.jpg
929,"Mi a jelentése annak, ha egy kishajón fehér fényt lengetnek? A jelzést leadó kishajó","veszélyben van, segítséget kér.",N,műveletképtelen.,I,hullámzás elleni védelemre szorul.,N,xxx-3588.jpg,xxx-3588.jpg
930,Milyen úszólétesítmény látható az ábrán?,Fennakadt géphajó jobb oldalát mutatja.,N,Hullámzás elleni védelemre szoruló géphajó jobb oldalát mutatja.,N,"Műveletképtelen, de menetben lévő géphajó bal oldalát mutatja.",I,teszt-1445.jpg,teszt-1445.jpg
931,Milyen úszólétesítmény látható az ábrán?,Fennakadt géphajó bal oldalát mutatja.,N,Révkalauzi szolgálatot ellátó hajó bal oldalát mutatja.,N,"Műveletképtelen, de menetben lévő géphajó bal oldalát mutatja.",I,teszt-1446.jpg,teszt-1446.jpg
932,"Mire következtet, ha egy közeledő hajó mellső részén vörös lengőt lát nappal? ",A hajó révkalauzi szolgálatának ellátását jelzi.,N,A hajó áthaladási elsőbbségi jogát jelzi.,I,A hajó 12 főnél több utas szállítására való jogosultságát jelzi.,N,teszt-1457.jpg,teszt-1457.jpg
933,"Mire következtet, ha egy hajóról vörös zászló/lobogó lengetésével jeleznek? A hajó",az összeütközés veszélyét jelzi.,N,műveletképtelenségét jelzi.,I,elsőbbségi jogát jelzi.,N,zzz-0001.jpg,zzz-0001.jpg
934,"Mit jeleznek a hajón látható fekete gömbök? A gömbök azt jelzik, hogy a hajó",zátonyra futott.,N,műveletképtelen.,I,manőverképességében korlátozott.,N,zzz-0002.jpg,zzz-0002.jpg
935,Mit jelez a hajón látható két vörös fény? A hajó,"azt jelzi, hogy nyílt helyen vesztegel.",N,műveletképtelenségét jelzi.,I,jobb oldala melletti elhaladás tilalmát jelzi.,N,zzz-0002.jpg,zzz-0002.jpg
936,Milyen hajó(k) viseli(k) az ábrán látható megkülönböztető jelzést?,A Nemzeti Adó-és Vámhivatal által üzemeltetett hajók.,N,Ellenőrző hatóságok hajói a Nemzeti Adó-és Vámhivatal által üzemeltetett hajók kivételével.,I,A mentőmotoros hajók.,N,xxx-1772.jpg,xxx-1772.jpg
937,"A hajótesten elhelyezett jelzésen, valamint az állami lobogón kívül, milyen kiegészítő jelzési(i) vannak az ellenőrző hatóság hajóinak a Nemzeti Adó-és Vámhivatal által üzemeltetett hajók kivételével?","Egy sárga villogó fénnyel jeleznek, ha feladatainak ellátásához szükséges.",N,"Egy fehér lengő kékkel keretezett fehér rombusz alakú jelzéssel, valamint ha feladatainak ellátásához szükséges - nappal és éjszaka - villogó kék fénnyel jeleznek.",I,"Kék villogó fénnyel jeleznek, ha feladataik ellátásához szükséges, valamint nappal egy vörös árbocszalagot viselnek.",N,xxx-1790.jpg,xxx-1790.jpg
938,Mit jelez az ábrán látható tábla?,"A tábla olyan hajót jelöl, amely nem rendelkezik személyzettel.",N,A hajó személyzetéhez nem tartozó személyek hajón történő tartózkodási tilalmát!,N,A hajó személyzetéhez nem tartozó személyek hajóra lépési tilalmát!,I,teszt-1584.jpg,teszt-1584.jpg
939,"Mit jeleznek nappal a hajón látható jelzőtestek (függőleges vonalban két fekete gömb között egy fekete kettős kúp)? A jelzőtestek azt jelzik, hogy",a hajó műveletképességében korlátozott vagy ereszkedik.,I,a hajó kormányképességében korlátozott.,N,a hajó merülése miatt mozgásában korlátozott.,N,zzz-0004.jpg,zzz-0004.jpg
940,"Mit jeleznek nappal a hajón látható jelzőtestek (függőleges vonalban két fekete gömb között egy fekete kettős kúp)? A jelzőtestek azt jelzik, hogy",a hajó műveletképességében korlátozott vagy ereszkedik.,I,a hajó kormányképességében korlátozott.,N,a hajó merülése miatt mozgásában korlátozott.,N,teszt-1591.jpg,teszt-1591.jpg
941,Mit jelentenek a hajón látható fények?,Kormányképtelen hajó.,N,Műveletképességében korlátozott hajó.,I,Merülése miatt mozgásában korlátozott hajó.,N,zzz-0005.jpg,zzz-0005.jpg
942,Mit jelentenek a hajón látható fények?,Kormányképtelen hajó.,N,Műveletképességében korlátozott hajó.,I,Merülése miatt mozgásában korlátozott hajó.,N,teszt-1596.jpg,teszt-1596.jpg
943,Mit jelentenek a hajón látható jelzőtestek?,"A hajó kormányképtelen, ezért hajózási akadályt képez.",N,"A hajó műveletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadályok keletkezett.",I,"A hajó zátonyra futott, ezért hajózási akadályt képez.",N,zzz-0006.jpg,zzz-0006.jpg
944,Mit jelentenek a hajón látható jelzőtestek?,"A hajó kormányképtelen, ezért hajózási akadályt képez.",N,"A hajó műveletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadályok keletkezett.",I,"A hajó zátonyra futott, ezért hajózási akadályt képez.",N,teszt-1608.jpg,teszt-1608.jpg
945,Mit jelentenek a hajón látható fények?,"A hajó kormányképtelen, ezért hajózási akadályt képez.",N,"A hajó zátonyra futott, ezért hajózási akadályt képez.",N,"A hajó műveletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadály keletkezett.",I,zzz-0007.jpg,zzz-0007.jpg
946,Mit jelentenek a hajón látható fények?,"A hajó kormányképtelen, ezért hajózási akadályt képez.",N,"A hajó zátonyra futott, ezért hajózási akadályt képez.",N,"A hajó műveletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadály keletkezett.",I,teszt-1613.jpg,teszt-1613.jpg
947,Mit jelölnek a hajókon látható jelzőtestek (csúcsukkal érintkező fekete kúpok)?,"Vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó, menetben lévő hajókat jelölnek.",I,Víziúton munkát (mederfelmérést) végző hajókat jelölnek.,N,Tavon vontatott kötelékkel haladó kishajókat jelölnek.,N,zzz-0008.jpg,zzz-0008.jpg
948,Mit jelölnek a hajókon látható jelzőtestek (csúcsukkal érintkező fekete kúpok)?,"Vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó, menetben lévő hajókat jelölnek.",I,Víziúton munkát (mederfelmérést) végző hajókat jelölnek.,N,Tavon vontatott kötelékkel haladó kishajókat jelölnek.,N,xxx-1822.jpg,xxx-1822.jpg
949,"Mire utalnak a hajón látható (fölül vörös alatta fehér) mindenoldalról látható fények? A fa hajó halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozik és",halászati eszköze a hajótól vízszintes irányban legfeljebb 150 méterre nyúlik ki.,I,halászati eszköze a hajótól vízszintes irányban legfeljebb 200 méterre nyúlik ki.,N,halászati eszköze a hajótól vízszintes irányban legfeljebb 50 méterre nyúlik ki.,N,xxx-1853.jpg,xxx-1853.jpg
950,"Milyen hajót lát az ábrán? Halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozó hajó, amelynek",halászeszköze a hajótól vízszintes irányban 100 méternél távolabbra nem nyúlik ki.,N,halászeszköze a hajótól vízszintes (a csúcsával felfelé mutató fekete kúp felé eső) irányában 150 méternél távolabbra nyúlik ki.,I,halászeszköze a hajótól vízszintes (a csúcsával felfelé mutató fekete kúp felé eső) irányában 150 méternél távolabbra nem nyúlik ki.,N,zzz-0009.jpg,zzz-0009.jpg
951,"Milyen hajót lát az ábrán? Halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozó hajó, amelynek",halászeszköze a hajótól vízszintes irányban 100 méternél távolabbra nem nyúlik ki.,N,halászeszköze a hajótól vízszintes (a csúcsával felfelé mutató fekete kúp felé eső) irányában 150 méternél távolabbra nyúlik ki.,I,halászeszköze a hajótól vízszintes (a csúcsával felfelé mutató fekete kúp felé eső) irányában 150 méternél távolabbra nem nyúlik ki.,N,teszt-1624.jpg,teszt-1624.jpg
952,"Mire utalnak a hajón látható fények? A fények azt jelzik, hogy a hajó halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozik és",a fehér fény felé halászati eszköze a hajótól vízszintes irányban legfeljebb 100 méterre nyúlik ki.,N,a fehér fény felé halászati eszköze a hajótól vízszintes irányban 150 méternél távolabbra nyúlik ki.,I,a fehér fény felé halászati eszköze a hajó mögött legfeljebb 150 méterre nyúlik ki.,N,zzz-0010.jpg,zzz-0010.jpg
953,"Mire utalnak a hajón látható fények? A fények azt jelzik, hogy a hajó halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozik és",a fehér fény felé halászati eszköze a hajótól vízszintes irányban legfeljebb 100 méterre nyúlik ki.,N,a fehér fény felé halászati eszköze a hajótól vízszintes irányban 150 méternél távolabbra nyúlik ki.,I,a fehér fény felé halászati eszköze a hajó mögött legfeljebb 150 méterre nyúlik ki.,N,teszt-1643.jpg,teszt-1643.jpg
954,"Melyik lobogóval jelezheti egy hajó azt, hogy búvármunka végzésére használják? ",Az 1-es számú „B” kódlobogóval.,N,2-es számú „A” kódlobogóval.,I,3-as számú „E” kódlobogóval.,N,xxx-1858.jpg,xxx-1858.jpg
955,Mi a jelentése a hajón látható „A” jelű kódlobogónak?,A hajót búvármunkák végzéséhez használják.,I,A hajó horgonya veszélyt jelent a hajózás számára.,N,A hajó nyílt helyen vesztegel.,N,teszt-1665.jpg,teszt-1665.jpg
956,Mit jeleznek a hajón látható jelzőtestek (3 db fekete gömb vízszintes alapú háromszög alakban elrendezve)? A hajó,műveletképtelen.,N,nyílt helyen (a parttal közvetlen vagy közvetett összeköttetés nélkül) vesztegel.,N,aknamentesítési műveletekkel foglalkozik.,I,zzz-0011.jpg,zzz-0011.jpg
957,Mit jeleznek a hajón látható jelzőtestek (3 db fekete gömb vízszintes alapú háromszög alakban elrendezve)? A hajó,műveletképtelen.,N,nyílt helyen (a parttal közvetlen vagy közvetett összeköttetés nélkül) vesztegel.,N,aknamentesítési műveletekkel foglalkozik.,I,xxx-1868.jpg,xxx-1868.jpg
958,"Milyen mentben lévő hajót feltételez, ha azon felül fehér alatta vörös minden oldalról látható fényeket észlel? A közeledő hajó egy",hullámzás elleni védelemre szoruló géphajó.,N,révkalauzi szolgálatot ellátó géphajó.,I,műveletképességében korlátozott géphajó.,N,zzz-0012.jpg,zzz-0012.jpg
959,"Milyen mentben lévő hajót feltételez, ha azon felül fehér alatta vörös minden oldalról látható fényeket észlel? A közeledő hajó egy",hullámzás elleni védelemre szoruló géphajó.,N,révkalauzi szolgálatot ellátó géphajó.,I,műveletképességében korlátozott géphajó.,N,teszt-1693.jpg,teszt-1693.jpg
